Hospital_Name,Hospital_Type,Address,contact,Specialities
AASHRITHA HOSPITAL,Corporate,"Medchal, Kapra, GHMC",P.Eshwari Bai (9441390139),S5 - Orthopedic Surgery And Procedures
AASHRITHA HOSPITAL,Corporate,"Medchal, Kapra, GHMC",P.Eshwari Bai (9441390139),S9 - Genito Urinary Surgeries
AASHRITHA HOSPITAL,Corporate,"Medchal, Kapra, GHMC",P.Eshwari Bai (9441390139),S15 - Poly Trauma
AASHRITHA HOSPITAL,Corporate,"Medchal, Kapra, GHMC",P.Eshwari Bai (9441390139),M2 - General Medicine
ABHAYA KIDNEY and MULTI SPECIALITY HOSPITAL,Corporate,"Mancherial, Mancherial, Mancherial",Sadanandam (9703000091),S5 - Orthopedic Surgery And Procedures
ABHAYA KIDNEY and MULTI SPECIALITY HOSPITAL,Corporate,"Mancherial, Mancherial, Mancherial",Sadanandam (9703000091),S9 - Genito Urinary Surgeries
ABHAYA KIDNEY and MULTI SPECIALITY HOSPITAL,Corporate,"Mancherial, Mancherial, Mancherial",Sadanandam (9703000091),S15 - Poly Trauma
ABHAYA KIDNEY and MULTI SPECIALITY HOSPITAL,Corporate,"Mancherial, Mancherial, Mancherial",Sadanandam (9703000091),M6 - Nephrology
AGUR PRIME HOSPITAL,Corporate,"Mahabubnagar, Jadcherla, jadcherla",Mudhanoor Saritha Rani (9490986322),S5 - Orthopedic Surgery And Procedures
AGUR PRIME HOSPITAL,Corporate,"Mahabubnagar, Jadcherla, jadcherla",A.Aruna (9642044790),S15 - Poly Trauma
AJANTHA MULTI SPECIALITY AND CHILDREN HOSPITAL,Corporate,"Jangaon, Jangaon, Jangaon",T. Maheswari (9866207293),S5 - Orthopedic Surgery And Procedures
AJANTHA MULTI SPECIALITY AND CHILDREN HOSPITAL,Corporate,"Jangaon, Jangaon, Jangaon",T. Maheswari (9866207293),S15 - Poly Trauma
AJARA HEALTH CARE AND RESEARCH CENTERE PVT LTD,Corporate,"Hanamkonda, Hanamkonda, Warangal",Ramadan V(9949438976),S5 - Orthopedic Surgery And Procedures
AJARA HEALTH CARE AND RESEARCH CENTERE PVT LTD,Corporate,"Hanamkonda, Hanamkonda, Warangal",Paramkusham . Hariprasad (9394896269),S7 - Cardiac And Cardiothoracic Surgery
AJARA HEALTH CARE AND RESEARCH CENTERE PVT LTD,Corporate,"Hanamkonda, Hanamkonda, Warangal",T.Pavani (8374161295),S8 - Pediatric Surgeries
AJARA HEALTH CARE AND RESEARCH CENTERE PVT LTD,Corporate,"Hanamkonda, Hanamkonda, Warangal",T.Pavani (8374161295),S9 - Genito Urinary Surgeries
AJARA HEALTH CARE AND RESEARCH CENTERE PVT LTD,Corporate,"Hanamkonda, Hanamkonda, Warangal",T.Pavani (8374161295),S10 - Neurosurgery
AJARA HEALTH CARE AND RESEARCH CENTERE PVT LTD,Corporate,"Hanamkonda, Hanamkonda, Warangal",T.Pavani (8374161295),S15 - Poly Trauma
AJARA HEALTH CARE AND RESEARCH CENTERE PVT LTD,Corporate,"Hanamkonda, Hanamkonda, Warangal",T.Pavani (8374161295),M4 - Pediatrics
AJARA HEALTH CARE AND RESEARCH CENTERE PVT LTD,Corporate,"Hanamkonda, Hanamkonda, Warangal",T.Pavani (8374161295),M5 - Cardiology
AJARA HEALTH CARE AND RESEARCH CENTERE PVT LTD,Corporate,"Hanamkonda, Hanamkonda, Warangal",T.Pavani (8374161295),M6 - Nephrology
AJARA HEALTH CARE AND RESEARCH CENTERE PVT LTD,Corporate,"Hanamkonda, Hanamkonda, Warangal",T.Pavani (8374161295),M7 - Neurology
AJAY HOSPITALS MULI SPECIALITY,Corporate,"Yadadri, Bhongir, Bhongir",Devulapalli Jyothi (9490489264),S5 - Orthopedic Surgery And Procedures
AJAY HOSPITALS MULI SPECIALITY,Corporate,"Yadadri, Bhongir, Bhongir",Devulapalli Jyothi (9490489264),S15 - Poly Trauma
AJAY HOSPITALS MULI SPECIALITY,Corporate,"Yadadri, Bhongir, Bhongir",Devulapalli Jyothi (9490489264),M2 - General Medicine
AKHILA EYE HOSPITAL A UNIT OF M AND M HEALTH CARE SERVICES,Corporate,"Khammam, Khammam (Urban), KHAMMAM",Dara.Praveen Kumar (9618428377),S3 - Ophthalmology Surgery
AKSHAYA MULTI SPECIALTY HOSPITAL,Corporate,"Karimnagar, Karimnagar, Karimnagar",Mogili Rajesham (9553535871),S1 - General Surgery
AKSHAYA MULTI SPECIALTY HOSPITAL,Corporate,"Karimnagar, Karimnagar, Karimnagar",Mogili Rajesham (9553535871),S5 - Orthopedic Surgery And Procedures
AKSHAYA MULTI SPECIALTY HOSPITAL,Corporate,"Karimnagar, Karimnagar, Karimnagar",Mogili Rajesham (9553535871),S9 - Genito Urinary Surgeries
AKSHAYA MULTI SPECIALTY HOSPITAL,Corporate,"Karimnagar, Karimnagar, Karimnagar",Mogili Rajesham (9553535871),S15 - Poly Trauma
AKSHAYA MULTI SPECIALTY HOSPITAL,Corporate,"Karimnagar, Karimnagar, Karimnagar",Mogili Rajesham (9553535871),M2 - General Medicine
AKSHAYA MULTI SPECIALTY HOSPITAL,Corporate,"Karimnagar, Karimnagar, Karimnagar",Mogili Rajesham (9553535871),M6 - Nephrology
AKSHAYA MULTI SPECIALTY HOSPITAL,Corporate,"Karimnagar, Karimnagar, Karimnagar",Mogili Rajesham (9553535871),M7 - Neurology
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Budida Jyothi (9000284909),S1 - General Surgery
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Somarapu Saradha (9703950643),S2 - Ent Surgery
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Somarapu Saradha (9703950643),S3 - Ophthalmology Surgery
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Somarapu Saradha (9703950643),S4 - Gynaecology And Obstetrics Surgery
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Somarapu Saradha (9703950643),S5 - Orthopedic Surgery And Procedures
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Somarapu Saradha (9703950643),S6 - Surgical Gastro Enterology
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Somarapu Saradha (9703950643),S7 - Cardiac And Cardiothoracic Surgery
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Somarapu Saradha (9703950643),S8 - Pediatric Surgeries
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Somarapu Saradha (9703950643),S9 - Genito Urinary Surgeries
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Somarapu Saradha (9703950643),S10 - Neurosurgery
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Somarapu Saradha (9703950643),S11 - Surgical Oncology
