Sr.No,KendraCode,Name,StateName,DistrictName,PinCode,Address
1,PMBJK02125,A.Sai Chaithanya Goud,Telangana,Adilabad,504001,"Jan Aushadhi Store Hno1146410 Collector Chowkadilabad telangana504001, Adilabad"
2,PMBJK02126,Abdus Samad Siddiqui,Telangana,Hyderabad,500065,"Premises Of Sitara Medical Center A Unit Of Ahmad Abdulla Charitable Trust, Hyderabad"
3,PMBJK02128,Goud Gummadi Sathyanarayana,Telangana,Nirmal,504306,"H No 2126 (Village) Bansapally (M) Dilawarpur Nirmal 504306, Nirmal"
4,PMBJK02129,A Kailashnath,Telangana,Hyderabad,500028,"Jan Aushadhi Store Dno12-2-823/A/51,Shahzore Residencysanthoshnagar Colonymehndipatnam, Hyderabad"
5,PMBJK02137,S. Adiumulka Anusha,Telangana,Jagitial,505327,"192812 Kalanagar Near Govt Civil Hospital Metpally Vill And Md Jagtial District 505327, Jagtial"
6,PMBJK02138,Myana Sharath Chandra Kumar,Telangana,Jagitial,505425,"D No 438 Sy No 637 Hanumanwada Dharmapuri Village And Mandals 505425, Jagtial"
7,PMBJK02139,Chiliveri Ramchander/Arshanapalli Mahendhar,Telangana,Jagitial,505326,"D No 211691 Ib Road Near Godown Nandi Chowrastha Korutla Vill & Md Jagtial 505326, Jagtial"
8,PMBJK02141,Devaraj Morapu,Telangana,Jagitial,505325,"D No 211015 Main Road Metpally Village And Pin Code 505325, Jagtial"
9,PMBJK02144,Shaik Ramzan,Telangana,Mulugu,506165,"Eturnagaram Bhupalapally Eturnagaram506165, Mulugu"
10,PMBJK02147,Boinapally Sridhar Rao (Lions Club Of Mulugu),Telangana,Mulugu,506345,"31 Gollawada Mulugu Jayashankar P, Mulugu"
11,PMBJK02149,Sampath Kumar Saraf,Telangana,Kamareddy,503111,"Jan Aushadhi Medical Storehno2158Peddabazarstation Roadkamareddytelangana503111, Kamareddy"
12,PMBJK02150,Dasyapu Raju,Telangana,Karimnagar,505001,"Jan Aushadhi Store 27281 Revenue Complex Opp Collectorate Complex Karimnagartelangana, Karimnagar"
13,PMBJK02151,Amballa Manohar,Telangana,Karimnagar,505326,"Jan Aushadhi Storebharathi Online Servicesh No 111111Pochammawada Korutla Distt Karim Nagar, Karimnagar"
14,PMBJK02152,Amirishetti Mallesham,Telangana,Jagitial,505532,"Opposite To Oriental Bank Of Commerce Of India Mothe Bye Pass Jagtital Road505532, Jagtial"
15,PMBJK02154,Ravula Bharagav,Telangana,Rajanna Sircilla,505301,"H No 25108 Sanjeevaiah Nagar Kaman Sirisilla (V) &
(M) Rajanna Pin Code 505301, Rajanna Sircilla"
16,PMBJK02155,Mohammad Azmath Hussain,Telangana,Khammam,507303,"584 Main Road Old Bus Stand Centre Sathupally Khammam District Telangana 507303, Khammam"
17,PMBJK02158,Chevva Ashok Kumar,Telangana,Nagarkurnool,509201,"3124 Amrabad Amrabad (V) Amrabad (M) Nagarkurnool 509201, Nagarkurnool"
18,PMBJK02160,Venkatesh,Telangana,Mahabubnagar,509334,"121 Hanuman Temple Opposite Hanwada (V) Hanwada
(M) 509334, Mahabubnagar"
19,PMBJK02162,Gopu Hari Nadha Reddy,Telangana,Medchal Malkajgiri,500080,"House No301553A Anantha Nagar Colony Naredmet Main Road Malkajgiri Hyderabad"", Malkajgiri"
20,PMBJK02163,Surender Arella,Telangana,Siddipet,506223,"Door No. 23-29/14, Opp: Angadi Bazar.Main Road Cherial (Vill &Mdl), Siddipet"
21,PMBJK02164,Dara Swamy,Telangana,Nalgonda,508114,"16 Sanjiva Nagar Colony Chityala Post Chityala Mandal Nalgonda 508114, Nalgonda"
22,PMBJK02166,Bhukya Rajeshwar,Telangana,Suryapet,508213,"1863A5 Near Ambedkar Statue Town Suryapet Mandal, Suryapet"
23,PMBJK02168,Chamakori Shiv Shankar,Telangana,Nalgonda,508244,"D No 177 Besthagudem Road Narsinghbhatla (Village) & Nalgonda (Mandal) 508244, Nalgonda"
24,PMBJK02169,Ritesh Patil,Telangana,Nizamabad,503002,Jan Aushadhi Storedore No 6138Opp Raoji Sangam
,,,,,,"High School Namdevwada Nizamabad503002, Nizamabad"
25,PMBJK02170,Ritesh Patil,Telangana,Nizamabad,503001,"31062 Bada Bazar Opp New Med Plus Nizamabad503001, Nizamabad"
26,PMBJK02172,I. Savthri,Telangana,Peddapalli,505215,"D No 23 Main Shopping Complex Pts Ntpc Jyothi Nagar Rama Gundam Mandal Pedapally Dist, Peddapalli"
27,PMBJK02173,B. Srinivasa Rao (Legacy Charitable Trust),Telangana,Peddapalli,505187,"D No 196434 Godhavarikani Village Ramagundam Mandal Peddapally Dist Pin Code 505187, Peddapalli"
28,PMBJK02179,M. Sanjana Reddy,Telangana,Ranga Reddy,500077,"M49P Near Hanuman Temple Kattedan Rajendra Nagar Mandal Rangareddy_Cir2500077, Rangareddy"
29,PMBJK02180,K Mallesham,Telangana,Ranga Reddy,500005,"Dno 260 Old Dno 239 Jillalaguda Main Road Jillalagudabalapur Mandal Jillelguda(V), Rangareddy"
30,PMBJK02181,Swapnakumar,Telangana,Warangal,506391,"D No 3351 Ground Floor Near Ambedkar Statue Main Road Parkal Pin Code 506391, Warangal Rural"
31,PMBJK02182,Shriram Aparna,Telangana,Hanumakonda,506002,"Jan Aushadhi Store8518 Beside Navatha Transportunder Bridge Roadnear Head Post Office, Warangal Urban"
32,PMBJK02183,Cheruku Mounika,Telangana,Hanumakonda,506001,"Jan Aushadhi Medical Storegovernment Maternity Hospital Premisseshanamkondawarangal, Warangal Urban"
33,PMBJK02184,P.Yadagiri,Telangana,Hanumakonda,506002,"Ckm Hospital Old Vegetable Market Girmajipet Pin Code 506002, Warangal Urban"
34,PMBJK02185,Gopu Hari Nadha Reddy,Telangana,Medchal Malkajgiri,500010,"531254Nr Yapral Yapral(V) Alwal Mandl Medchal Dist 500010, Malkajgiri"
35,PMBJK02186,Gulgulothu Prasad/Gayakoti Santhosh,Telangana,Jangoan,506167,"Dno21111 Skm Road Jangaon Pin Code 506167, Jangaon"
36,PMBJK02188,Gurram Mahipal Reddy,Telangana,Hanumakonda,506001,"H No71 57Sai Nagar Hanamkonda Warngal Telangana 506001"", Warangal Urban"
37,PMBJK02820,B. Neelamma/Star Mahila Mandali,Telangana,Nagarkurnool,509209,"61 Peddakothapalle (V) And Mandal Nagar Kurnool 509209, Nagarkurnool"
38,PMBJK02871,Dileep Kumar Desai,Telangana,Jogulamba Gadwal,509216,"79227 Gadwal Town Jogulamba Gadwal Dist (Rural) Jogulamba, Jogulamba"
39,PMBJK03022,Gopu Ramana Reddy,Telangana,Hyderabad,500010,"Shop No 3 Plot No 10 Lal Bahadur Nagar Colony Trimulgherry Village And Mandal Marredpally, Hyderabad"
40,PMBJK03037,Ms. Botla Uma,Telangana,Jangoan,506167,"H No 000 Government Maternity Hospital Pasarmadla Village Jangaon Dist, Jangaon"
41,PMBJK03055,Ediga Shekar Goud,Telangana,Jogulamba Gadwal,509125,"137551 Opp Sbi Sunkulama Mettu Gadwal Town Jogulamba Gadwal Dist (Rural), Jogulamba"
